Date,Open,High,Low,Close,Adj Close,Volume
2022-02-14,140.080002,143.210007,139.789993,141.589996,140.084915,6841200
2022-02-15,144.220001,146.320007,144.100006,145.580002,144.032532,7820200
2022-02-16,145.020004,146.949997,144.610001,146.490005,144.932831,4817500
2022-02-17,145.539993,146.910004,142.639999,142.800003,141.282059,5202300
2022-02-18,143.369995,143.940002,141.809998,142.949997,141.430466,5177400
2022-02-22,141.589996,141.639999,136.160004,138.190002,136.721069,9604500
2022-02-23,139.660004,140.970001,136.509995,136.830002,135.375519,7636600
2022-02-24,133.000000,137.419998,130.929993,137.169998,135.711899,8417200
2022-02-25,138.130005,139.220001,136.190002,138.800003,137.324585,5424500
2022-02-28,137.059998,138.380005,135.039993,136.550003,135.098495,6613300
2022-03-01,136.720001,136.750000,131.149994,132.220001,130.814514,6534000
2022-03-02,132.979996,136.610001,132.770004,135.679993,134.237732,7743900
2022-03-03,136.740005,136.800003,133.449997,133.970001,132.545929,4576500
2022-03-04,132.509995,133.619995,130.699997,131.179993,130.081726,7084500
2022-03-07,131.000000,131.029999,124.169998,124.440002,123.398163,11383400
2022-03-08,125.239998,125.470001,120.800003,121.209999,120.195198,9089400
2022-03-09,127.379997,129.649994,126.629997,126.949997,125.887138,8845100
2022-03-10,124.019997,126.599998,124.000000,126.029999,124.974838,7167400
2022-03-11,127.010002,127.870003,122.510002,122.629997,121.603317,5882000
2022-03-14,121.529999,122.449997,116.750000,117.570000,116.585686,13884900
2022-03-15,119.839996,120.419998,117.750000,119.400002,118.400360,10431300
2022-03-16,122.849998,126.110001,121.930000,125.190002,124.141884,11100400
2022-03-17,124.940002,127.410004,123.699997,127.410004,126.343300,6845300
2022-03-18,126.849998,131.460007,126.699997,131.240005,130.141235,10350900
2022-03-21,129.720001,132.309998,128.619995,130.190002,129.100006,14388500
2022-03-22,137.279999,139.000000,132.990005,133.089996,131.975739,19731200
2022-03-23,132.639999,135.399994,131.199997,133.000000,131.886490,8068800
2022-03-24,133.750000,134.190002,131.199997,132.080002,130.974182,5853800
2022-03-25,133.050003,133.869995,131.710007,133.699997,132.580627,6287000
2022-03-28,133.759995,134.860001,132.169998,134.809998,133.681335,5804100
2022-03-29,137.850006,139.750000,136.949997,139.139999,137.975098,7275900
2022-03-30,138.979996,139.860001,137.559998,138.539993,137.380112,5545800
2022-03-31,137.830002,138.710007,134.500000,134.559998,133.433426,7206500
2022-04-01,134.449997,135.279999,132.750000,133.520004,132.402145,5807500
2022-04-04,133.050003,135.210007,132.860001,134.339996,133.215271,5307300
2022-04-05,134.039993,134.679993,132.020004,132.300003,131.192368,5707800
2022-04-06,130.050003,130.300003,126.330002,128.360001,127.285347,6961000
2022-04-07,127.430000,129.979996,127.089996,129.380005,128.296799,5320500
2022-04-08,129.440002,129.929993,127.879997,128.149994,127.077095,4877400
2022-04-11,125.099998,126.870003,124.320000,124.980003,123.933640,6365400
2022-04-12,125.199997,128.100006,124.339996,125.040001,123.993134,5146800
2022-04-13,125.040001,127.860001,125.040001,127.489998,126.422623,5119300
2022-04-14,129.080002,134.380005,128.889999,133.460007,132.342651,12811300
2022-04-18,132.000000,133.389999,130.309998,131.630005,130.527969,5298200
2022-04-19,133.089996,137.479996,132.779999,137.050003,135.902588,7346100
2022-04-20,137.960007,138.649994,135.660004,135.869995,134.732452,5309700
2022-04-21,138.550003,139.139999,135.080002,135.460007,134.325912,6562400
2022-04-22,134.330002,134.929993,128.710007,129.070007,127.989410,7321700
2022-04-25,127.800003,128.940002,124.849998,127.940002,126.868851,6512500
2022-04-26,126.949997,127.589996,120.480003,120.519997,119.510979,7977900
2022-04-27,121.089996,124.000000,121.089996,121.239998,120.224945,6007800
2022-04-28,123.169998,127.970001,122.599998,127.050003,125.986320,6551600
2022-04-29,126.220001,128.449997,124.250000,124.699997,123.655983,5867900
2022-05-02,124.430000,126.180000,122.800003,126.080002,125.024437,5428400
2022-05-03,125.019997,125.760002,120.220001,122.860001,121.831390,8201200
