YEAR,Car_Age,MILEAGE,CAR_PRICE
2012,10,91000,11400
2011,11,91865,12995
2016,6,78230,16999
2017,5,86000,17500
2006,16,144000,7000
2008,14,160000,46000
2015,8,92955,14995
2019,3,36311,22985
2013,9,48239,14985
2002,10,60000,5500
2019,3,31383,21985
2017,5,104000,15999
2020,2,61112,21430
2005,17,150131,6999
2016,6,76000,15500
2007,15,177467,6496
2014,8,86770,13990
